Message,Hated/Non-Hated,Description
You telling only lies🤣🤣🤣🤣🤣🤣,Hated, Without additional context; it is difficult to determine whether the statement is meant as hate or not. It could be intended as a lighthearted teasing or a playful comment among friends; or it could be meant as a more aggressive insult. Ultimately; the tone and intent behind the statement would determine whether it is considered hate or not.
Kanye 😎; Jay Z 🤮,Hated, It's important to remember that people have different opinions and preferences when it comes to music and artists. Some people may prefer Kanye West's music and enjoy his style; while others may not enjoy it as much and prefer someone like Jay Z. However; it's not appropriate to use derogatory language or insults when expressing one's opinion. It's important to be respectful and mindful of others.
That’s why Kim Kardashian isn’t going to the Met Gala 🤭😂😂,Hated, This statement is not inherently hateful; but it may be interpreted as gossip or judgmental towards Kim Kardashian's decision not to attend the Met Gala. The use of the laughing emojis may suggest a lighthearted or mocking tone; which could be perceived as disrespectful towards Kim Kardashian.
I didn't like drake i like him even less now🤢🤢🤮 playing like a play ou and doing sneaky things just for publicity and money is desgusting,Hated, This statement expresses a negative opinion about Drake and accuses him of engaging in unethical behavior for the sake of publicity and money. While the use of emojis may suggest some level of emotion or intensity; the statement itself does not contain any explicit hate speech or derogatory language. However; it is important to note that expressing negative opinions about someone should be done in a respectful and constructive manner; without resorting to personal attacks or unfair accusations.
I think 🤔 Kanye is just being a crybaby 😭,Hated, This statement is not hate speech; but it could be considered a derogatory or dismissive opinion about Kanye West. It's important to remember that everyone is entitled to their own opinions and beliefs; but it's also important to express them in a respectful and constructive way.
😏; Kanye knew Kim dated a lot before him;(and he dated people too.) But he was saying private things; and getting jealous easy like he didn't trust her... He was acting a lil paranoid.  Now he wants to get back at her because they broke up; and Kim probably is being petty right back.; She is a Libra.,Non-Hated,
shi killed me that shi was funny asf 🤣🤣,Non-Hated, The statement itself does not contain any inherently hateful language or tone. It appears to be a lighthearted comment about finding something amusing or entertaining. However; context and tone of voice can also play a role in determining whether a statement is intended to be hurtful or not. Without further context or information; it is difficult to definitively say whether the statement is hateful or not.
im bout to go home and do my thing...😂🙂😐,Non-Hated, The meaning of this phrase can vary depending on the context in which it was said. It is possible that the speaker is simply stating that they are going home to do their own thing; without any particular emphasis on the activity itself. Alternatively; the phrase could imply that the speaker is going home to engage in a specific activity or task; but without specifying what that activity is. The use of different emojis; such as the laughing face; the smiley face; and the neutral face; could indicate a range of emotions or attitudes towards the situation; such as amusement; happiness; or neutrality. Without more context; it is difficult to determine the intended meaning behind this phrase.
Yessir I been waiting for this 🥴,Non-Hated, The statement Yessir I been waiting for this 🥴 is not necessarily hate speech on its own. The use of the word yessir is a casual expression of enthusiasm or agreement; and the 🥴 emoji is commonly used to express a feeling of dizziness or disorientation. However; the context in which this statement is used can affect its meaning and potentially make it hate speech. For example; if the statement is made in response to someone promoting or engaging in harmful or discriminatory behavior; it could be seen as endorsing or celebrating that behavior.
Woke up sippin wock 😵‍💫,Non-Hated, The statement Woke up sippin wock 😵‍💫 is not considered hate speech. The use of the term wock refers to a slang term for a certain type of cough syrup mixed with soda and candy; and while the use of recreational drugs is not encouraged; it is not inherently hateful or derogatory towards any particular group.
That Septembers rich in the beginnin tho😈,Non-Hated, It's difficult to provide a clear explanation without additional context. However; it appears to be a statement expressing excitement or anticipation for a financially prosperous September. The use of the devil emoji could indicate a mischievous or playful attitude towards the situation.
100k 😤🚀,Non-Hated, The phrase 100k 🚀😤 typically means that the person is excited about the possibility of earning or achieving 100;000 of something; such as followers on social media or earning 100;000 dollars. The rocket emoji 🚀 often represents a feeling of launching or achieving something; while the angry face with steam coming out of its nose 😤 suggests determination and drive to reach that goal.
HOW DOES THIS MAN NOT GET IN JAIL 💀,Non-Hated, The statement HOW DOES THIS MAN NOT GET IN JAIL 💀 is not considered hate speech because it does not target a particular group or individual based on their race; ethnicity; religion; gender; sexuality; or any other protected characteristic.It expresses surprise and disbelief that someone has not been incarcerated despite their actions; but does not contain any harmful or derogatory language towards anyone.
The reactions u get priceless u no how to stir the pot 🤣 💀 😂,Non-Hated, This statement does not contain any hate speech.
NPCs are really interactive this GTA6 🤯🤯🤯,Non-Hated, The statement NPCs are really interactive this GTA6 🤯🤯🤯 is not considered hate speech. The use of the 🤯 emoji suggests excitement or amazement; and the statement itself is an observation about the non-playable characters (NPCs) in the game Grand Theft Auto 6 being more interactive than previous versions. It does not contain any harmful or derogatory language towards a particular group or individual.
say arkward 🙃 but intriguing. The squirrel 🐿️ is amusing 😆,Non-Hated, This statement; say arkward 🙃 but intriguing. The squirrel 🐿️ is amusing 😆; is a positive and lighthearted statement. The use of the 🙃 and 😆 emojis suggest a friendly and humorous tone; and the comment about the squirrel is complimentary. Therefore; it is not considered hate speech.
“Goddamn it you’re on thin ice pal” 🥵,Non-Hated, This statement; Goddamn it you’re on thin ice pal; contains a mild swear word; but it is not necessarily directed at a particular individual or group and is not explicitly derogatory or hateful. Therefore; it can be seen as a relatively neutral statement expressing frustration or warning.
Funny vids brother keep it up I love u💚💚🐍🐍,Non-Hated, This statement; Funny vids brother keep it up I love u💚💚🐍🐍; does not contain any explicit hate speech or derogatory language; and the use of emojis can be seen as positive and supportive. Therefore; it can be considered a positive and friendly message.
Goddamnit you’re on thin ice pal👴🏻,Hated, The statement Goddamnit you’re on thin ice pal👴🏻 may be considered rude or disrespectful. While it may not necessarily be considered hate speech or discriminatory; the use of goddamnit could be perceived as offensive to some individuals who hold religious beliefs. Additionally; referring to someone as pal in a confrontational manner could be seen as dismissive or insulting.It is important to communicate in a respectful and constructive manner; even in situations of disagreement or frustration. Using language that is intentionally hurtful or confrontational is not productive and can damage relationships.
That nappy hair doo💀💀,Hated, The statement That nappy hair doo💀💀 is a comment about someone's hair; and it may be perceived as an insult towards their hairstyle. The use of the 💀💀 emojis adds a sarcastic or mocking tone to the comment. While it is not necessarily hate speech or discriminatory; it is not respectful or kind; and it could be hurtful to the person being targeted by the comment.It is important to be mindful of the impact of our words on others and to communicate in a respectful and constructive manner; even when we may not agree with or appreciate their appearance.
Your head's so shiny I thought it was a skillet 💀💀💀,Hated, The statement Your head's so shiny I thought it was a skillet 💀💀💀 is a comment that may be perceived as an insult towards someone's bald head; comparing it to a cooking utensil. While it is not necessarily hate speech or discriminatory; it is not respectful or kind; and it could be hurtful to the person being targeted by the comment.It is important to be mindful of the impact of our words on others and to communicate in a respectful and constructive manner.
ll give him something to sniff. 😵‍💫,Hated, The statement I'll give him something to sniff. 😵‍💫 is potentially concerning and could be interpreted as a threat to harm or drug someone. The use of the emoji 😵‍💫; which depicts a dizzy or disoriented face; further emphasizes the potentially harmful nature of the statement.It is important to remember that threatening or harmful language is not acceptable and may have serious consequences. It is essential to communicate in a respectful and constructive manner with others; even when we may not agree with them.
Bro they all talk like npc’s💀,Hated, The statement Bro they all talk like npc's💀 is a comment that appears to be directed towards a group of people who all talk in a similar or scripted manner; comparing them to non-playable characters (NPCs) in video games.While this statement may be seen as an expression of opinion; it is important to consider the potential impact of our words on others. Some may find this comment dismissive or derogatory; and it is important to engage in respectful and constructive dialogue with others.
😂💀😂💀😂💀😂💀😂💀😂💀😂💀😂,Non-Hated, The statement 😂💀😂💀😂💀😂💀😂💀😂💀😂💀😂 is a collection of emojis that may represent laughter and amusement; as well as the skull emoji 💀; which can represent humor or even death.Without additional context; it is difficult to determine the intended meaning or message behind these emojis. However; it is important to remember that the use of emojis and other forms of digital communication can sometimes be ambiguous; and misunderstandings may arise if the intended meaning is not clear.
Yo your head look like a skillet 🤓🤓💀💀💀💀💀,Hated, The statement Yo your head look like a skillet 🤓🤓💀💀💀💀💀 appears to be a comment on someone's physical appearance; comparing their head to a skillet. The use of the nerd face emoji 🤓 and the skull emoji 💀 multiple times could be interpreted as humorous or exaggerated expressions of the writer's opinion.However; it is important to note that such comments can be hurtful and offensive to the person being targeted. It is important to consider how our words may impact others and to express opinions in a respectful and non-discriminatory manner.
Boy in that Fadedculture drip! 🏴🤞🏽,Hated, The statement Boy in that Fadedculture drip! 🏴🤞🏽 appears to be a comment on someone's fashion or style. The use of the black flag emoji 🏴 and the crossed fingers emoji 🤞🏽 may suggest approval or admiration for the clothing or the person wearing it.Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic. However; it is important to be mindful of the potential impact of comments on someone's appearance or style; and to express opinions in a respectful and non-discriminatory manner.
Pops legs ain’t working like they used to☠️,Hated,The statement Pops legs ain’t working like they used to ☠️ could be interpreted as a comment on a person's physical ability or health condition. The use of the skull emoji ☠️ could be interpreted as an expression of humor or exaggeration; or it could suggest that the writer is using this statement as a way of acknowledging or accepting the person's physical limitations.Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic. However; it is important to be mindful of how comments about someone's physical abilities may impact them; and to express opinions in a respectful and non-discriminatory manner.
😭😭😂bros camera man was fast ash😭😭,Non-Hated, The statement 😭😭😂 bro's camera man was fast ash 😭😭 appears to be a series of emojis and slang expressions used to convey an opinion or reaction to a situation. The face with tears of joy emoji 😂 is commonly used to indicate laughter or amusement; while the loudly crying face emoji 😭 could indicate that the writer is also emotional about the situation. The use of the slang expression fast ash may suggest that the camera man was quick or efficient in his actions.Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic.
5:07 is so funny  and the  guy  Look like  He  Smoke 20 packs of cigarettes  Everyday 🚭 🤣,Hated,The statement 5:07 is so funny and the guy looks like he smokes 20 packs of cigarettes every day 🚭 🤣 could be interpreted as a comment on a video or media that features a person who is making a funny or humorous remark at the 5:07 mark. The use of the no smoking symbol emoji 🚭 could be interpreted as an indication that the writer does not smoke; while the face with tears of joy emoji 🤣 could indicate that the writer finds the situation or comment to be very funny.While the statement does mention the appearance of a person and their smoking habits; without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic. However; it is important to be mindful of how comments about someone's appearance or habits may impact them; and to express opinions in a respectful and non-discriminatory manner.
not the lunge at the door 💀,Non-Hated, The statement not the lunge at the door 💀 could be interpreted as a slang expression that describes someone making a sudden movement or action towards a door; possibly in a humorous or exaggerated way. The use of the skull emoji 💀 could be interpreted as an expression of humor or exaggeration. Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic.
😂😂😂💀❤️❤️,Non-Hated, The statement 😂😂😂💀❤️❤️ appears to be a series of emojis that express a range of emotions. The face with tears of joy emoji 😂 is commonly used to indicate laughter or amusement; while the skull emoji 💀 could be interpreted as an expression of humor or exaggeration. The two heart emojis ❤️❤️ could indicate positive feelings or affection towards someone or something. Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic.

